timestamp,scenario_uuid,date_id,ad_start,current_timestamp,ego_velocity_x,ego_acc_x,KPI_pass_Flag,LCA_flag_on
1659522911372,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.3999999910593033,13.34389114380263,37.00123792626314,True,True
1659522911397,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.40999999083578587,13.341802597049515,36.08142834501422,True,True
1659522911432,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.41999999061226845,13.33971405029662,35.20648752383726,True,True
1659522911454,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.42999999038875103,13.337625503543638,34.37321055125389,True,True
1659522911468,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.4399999901652336,13.335537910465012,33.57869064716439,True,True
1659522911482,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.4499999899417162,13.333450317386209,32.820283116725875,True,True
1659522911497,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.4599999897181988,13.33136463165609,32.09558258767721,True,True
1659522911512,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.46999998949468136,13.329277992251516,31.402386630856252,True,True
1659522911536,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.47999998927116394,13.327192306521228,30.738690403484426,True,True
1659522911599,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.4899999890476465,13.32510566711774,30.102646198794115,True,True
1659522911621,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.4999999888241291,13.323019981387576,29.492564928909317,True,True
1659522911642,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.5099999886006117,13.320933341983059,28.906885001822914,True,True
1659522911662,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.5199999883770943,13.318848609927212,28.344174784981316,True,True
