timestamp,scenario_uuid,date_id,ad_start,current_timestamp,ego_velocity_x,ego_acc_x,longitudinal_jerk,KPI_pass_Flag,LCA_flag_on
1659522910562,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.009999999776482582,0.0,0.0,0.0,True,True
1659522910613,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.019999999552965164,13.88823127746582,1388.8231201171875,694.4115600585938,True,True
1659522910634,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.029999999329447746,13.886462211608887,0.17690658569335938,-231.41155115763348,True,True
1659522910650,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.03999999910593033,13.88469409942627,0.17681121826171875,-115.70579942067462,True,True
1659522910666,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.04999999888241291,13.882926940917969,0.17671585083007812,-69.42349872589114,True,True
1659522910681,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.05999999865889549,13.881160736083984,0.1766204833984375,-46.282348378499336,True,True
1659522910696,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.06999999843537807,13.87939453125,0.1766204833984375,-33.05882027035668,True,True
1659522910718,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.07999999821186066,13.877628326416016,0.1766204833984375,-24.7941152027675,True,True
1659522910743,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.08999999798834324,13.875861167907715,0.17671585083007812,-19.28430122799344,True,True
1659522910768,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.09999999776482582,13.87409496307373,0.1766204833984375,-15.42745051913792,True,True
1659522910790,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.1099999975413084,13.872328758239746,0.1766204833984375,-12.622459515658278,True,True
1659522910806,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.11999999731779099,13.870562553405762,0.1766204833984375,-10.518716263048574,True,True
1659522910823,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.12999999709427357,13.868797302246094,0.17652511596679688,-8.900459558535843,True,True
1659522910838,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.13999999687075615,13.768294334411621,10.050296783447266,-6.92369593106784,True,True
1659522910853,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.14999999664723873,13.618430137634277,14.986419677737752,-5.6714616139727525,True,True
1659522910868,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.1599999964237213,13.468858718872111,14.957141876523826,-4.964358774802037,True,True
1659522910890,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.1699999962002039,13.41358566284202,5.527305604802938,-4.9350128172795,True,True
1659522910905,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.17999999597668648,13.395766258240213,1.7819404634840221,-4.594753900988366,True,True
1659522910919,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.18999999575316906,13.389434814453768,0.633144381643061,-4.171558547297025,True,True
1659522910934,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.19999999552965164,13.38622188568176,0.32129287741406665,-3.769995267778768,True,True
1659522910956,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.20999999530613422,13.383823394775922,0.23984909200719665,-3.4148263749144405,True,True
1659522911010,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.2199999950826168,13.381637573242514,0.2185821684461203,-3.1053542919022874,True,True
1659522911033,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.2299999948590994,13.37950992584245,0.21276475715183837,-2.835576414836602,True,True
1659522911057,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.23999999463558197,13.377399444580131,0.2110481458833343,-2.5993499057364318,True,True
1659522911080,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.24999999441206455,13.375294685363777,0.21047598174185544,-2.3914247998431577,True,True
1659522911099,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.25999999418854713,13.373192787170446,0.21018982693161992,-2.2074800519633158,True,True
1659522911122,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.2699999939650297,13.371093750000176,0.20990375177080126,-2.04397360645347,True,True
1659522911137,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.2799999937415123,13.368996620178624,0.20971301127899764,-1.8979823038672095,True,True
1659522911153,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.2899999935179949,13.366900444031472,0.209617642489708,-1.7670902611449648,True,True
1659522911173,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.29999999329447746,13.36480426788435,0.209617635978922,-1.64928424395233,True,True
1659522911188,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.30999999307096004,13.36270999908597,0.20942690507316283,-1.542884961468495,True,True
1659522911202,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.3199999928474426,13.360614776613154,0.20952225766542312,-1.4464516716082017,True,True
1659522911221,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.3299999926239252,13.358522415163444,0.20923616318463578,-1.3587966034646968,True,True
1659522911237,091d7a86-9a43-45c4-bf70-868764ea5275,03/08/2022,0,0.3399999924004078,13.356431961062185,0.20904541615909314,-1.2788730017028271,True,True
